"schema_version","artifact_set_id","source_snapshot_id","source_ordinal","row_key","source_row_sha256","semantic_slot_ordinal","semantic_slot_id","foreign_field_paths","field_shape_states","field_path_count","combined_value_state","foreign_classification","mapping_disposition","source_value_copied","negative_boundary_code"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","0","logicalStageId","levelId|chapterId|actId|sectionId|difficulty|type|tag|battleType","levelId=number-nonzero|chapterId=number-nonzero|actId=number-nonzero|sectionId=number-nonzero|difficulty=number-nonzero|type=number-nonzero|tag=array-present|battleType=number-nonzero","8","present","proven-static","identity-and-static-hierarchy-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","1","physicalSceneOrScript","luaFile","luaFile=string-present","1","present","proven-static","static-script-reference-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","2","briefingAndCatalog","name.Hash|displayTitle.Hash|displayDetail.Hash|briefPicPath|detailPicPath","name.Hash=number-nonzero|displayTitle.Hash=number-nonzero|displayDetail.Hash=number-nonzero|briefPicPath=string-present|detailPicPath=string-present","5","present","proven-static","hashed-text-and-asset-reference-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","3","recommendedPowerOrLevel","recommendPlayerLevel|unlockPlayerLevel|hardLevel|hardLevelGroup","recommendPlayerLevel=number-nonzero|unlockPlayerLevel=number-nonzero|hardLevel=number-nonzero|hardLevelGroup=number-nonzero","4","present","proven-static","static-level-and-difficulty-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","4","loadout","teamNum|maxNumList|isEnterWithElf|restrictList","teamNum=number-nonzero|maxNumList=array-present|isEnterWithElf=number-zero|restrictList=array-present","4","unresolved","unknown","formation-shape-without-loadout-identity","0","STATIC-SHAPE-CONSUMER-UNRESOLVED"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","5","restrictions","restrictList|teamNum|maxNumList|isEnterWithElf|reviveTimes|reviveCostType|ReviveUseTypeList|enterTimes|enterTimesType|MonsterAttrShow|HardCoeff|UseDynamicHardLv|BalanceModeType","restrictList=array-present|teamNum=number-nonzero|maxNumList=array-present|isEnterWithElf=number-zero|reviveTimes=number-nonzero|reviveCostType=number-nonzero|ReviveUseTypeList=array-empty|enterTimes=number-nonzero|enterTimesType=number-zero|MonsterAttrShow=array-present|HardCoeff=number-nonzero|UseDynamicHardLv=number-zero|BalanceModeType=number-zero","13","present","proven-static","static-restriction-field-family-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","6","entryCost","staminaCost|costMaterialId|costMaterialNum|firstCostMaterialNum","staminaCost=number-nonzero|costMaterialId=number-zero|costMaterialNum=number-zero|firstCostMaterialNum=number-zero","4","present","proven-static","static-entry-cost-field-family-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","7","recordOrTargetTime","fastBonusTime|sonicBonusTime|RecordLevelType","fastBonusTime=number-nonzero|sonicBonusTime=number-nonzero|RecordLevelType=number-zero","3","present","proven-static","static-time-and-record-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","8","prerequisite","preLevelID|unlockPlayerLevel|unlockStarNum|PreMissionList|PreMissionLink|PreMissionLinkParams|PreMissionLinkParamStr|LockedText.Hash","preLevelID=array-present|unlockPlayerLevel=number-nonzero|unlockStarNum=number-zero|PreMissionList=array-empty|PreMissionLink=number-zero|PreMissionLinkParams=array-empty|PreMissionLinkParamStr=string-empty|LockedText.Hash=number-zero","8","present","proven-static","static-predecessor-and-unlock-shape-only","0","STATIC-FIELD-FAMILY-NO-RUNTIME"
"1","HI3-STAGEDATA-STAGE-SPINE-NAIRIEBERRY-01D7AFB-V1","hi3-nairieberry-01d7afb-global-stagedata-spine-v1","2","levelId=10101","93eb25ca807d6a7f5230cd1ca52e66d68c9f956db3eab25d8013d338699c968f","9","recommendedNext","UnlockedLink|UnlockedLinkParams|UnlockedLinkParamStr|UnlockedText.Hash|preLevelID","UnlockedLink=number-zero|UnlockedLinkParams=array-empty|UnlockedLinkParamStr=string-empty|UnlockedText.Hash=number-zero|preLevelID=array-present","5","unresolved","unknown","no-direct-next-stage-identity","0","STATIC-SHAPE-CONSUMER-UNRESOLVED"
