"schema_version","artifact_set_id","input_ordinal","source","relative_path","size_bytes","sha256_uppercase"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","0","devilpromt","ExcelOutputAsset/ARKPlusMonsterInfo.json","694","0579FD361C0753A0DD1BBD77B6C2901568BC6E32482C92726B77DCED14FF9995"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","1","devilpromt","ExcelOutputAsset/ARKPlusStage.json","2030","3CFF837254B733455A72FFB05E8D9C422082C7A2131001512E422BFC216BCBD6"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","2","devilpromt","ExcelOutputAsset/ActivityChargeLevel.json","16644","BEC99A9ABE53808299C22AA3C5266AB604D92301D57B42CFF121565BF97CEFE3"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","3","devilpromt","ExcelOutputAsset/ActivityStageRank.json","7403","5BB1910C59EEAEB258663A138AB717AF38821235201E09607E8EF09AA959DCEA"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","4","devilpromt","ExcelOutputAsset/AdventureAvatarSkillLevel.json","7409","B001EE2381192644B46FC9B31EA4306CF0CD935FC222C617BF300692D8617F83"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","5","devilpromt","ExcelOutputAsset/AiCyberDailyStageDropLimit.json","1088","291E3FED73EF327424896F5D425F7D63031E338535AA25510B91777B332188BF"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","6","devilpromt","ExcelOutputAsset/AiCyberDailyStageScoreDrop.json","6002","94A306361030B60F81AA885D1FF3C5CA93553D41DD46DB324FB3B1B9758DF707"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","7","devilpromt","ExcelOutputAsset/AiCyberStageData.json","3397","B9ABFFD49EF36DF49967637CCFB2F3BBA517AEF0D7F0F9561C100673A8928F97"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","8","devilpromt","ExcelOutputAsset/AiCyberStageGroup.json","833","50AE445795E37300E72AB066284C4E3DE9FB6C010C89BAA12224CEA572C46B14"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","9","devilpromt","ExcelOutputAsset/AnyPreStageUnlockConfig.json","37","FDEE6BCF644A05F4CB9BF6F0E0AB02F498CE463DD920CCB8EA7A7C9AE5A57F6B"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","10","devilpromt","ExcelOutputAsset/ArmadaReunionLevel.json","11430","61B6AB0F19BF5BE824C10CADC14DCA0D2491FA2A2A8E1C4834766A8503F65882"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","11","devilpromt","ExcelOutputAsset/AstraMate_LevelData.json","4513","4C0C180A93C04D7DF1A071757EF74CBD935978FD7D5A1F4DA93BAFDD52F32265"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","12","devilpromt","ExcelOutputAsset/AvatarArtifactLevel.json","9263","641681516A12A7818D05812639B90DE554DFBC60A7AA3E3258A8143395C18089"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","13","devilpromt","ExcelOutputAsset/AvatarLevelData.json","11416","343ACB83E79E91A674A4B14777CB244FD35510EE9EF9911ED6763443672A0111"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","14","devilpromt","ExcelOutputAsset/AvatarLevelGroup.json","77","0AFCE42EE6A0803DC74887810721A99D42F2835BE150A2F9560D5B67B8FE32ED"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","15","devilpromt","ExcelOutputAsset/AvatarSubSkillLevelDataV2.json","20735","7518D7BEA71EB3EE384EC7AC18D24E694356EF009E1168460A0BCD9EE0799ECD"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","16","devilpromt","ExcelOutputAsset/BWCampStage.json","2","4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","17","devilpromt","ExcelOutputAsset/BattlePassSeasonLevelConfig.json","965291","BD4F99CDC683A9578E3AD6DFE240DA7CDFA05E51CAFB35627D270960209BAA10"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","18","devilpromt","ExcelOutputAsset/BbqLevel.json","319","51AF4F9919AC46C0AEF8F6FC8502A0B0BAEE0B0A79FB8104B149947B24BE1B38"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","19","devilpromt","ExcelOutputAsset/BeastStage.json","923","6E09EB3033B79B28D1D851A18ACF803556220C51EF6D07BD86489A62EE6E3B01"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","20","devilpromt","ExcelOutputAsset/BeastStageDisplay.json","13988","2C9CF6B67C2CDBAEC315DF63C4048B7DBA9D7B377FC46536447856CD04D082BF"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","21","devilpromt","ExcelOutputAsset/BossChallengeStage.json","2373","F69BF870CAB97445E14B99097953CC6CC8EFBE4073F97DC7237C07E0CA6807B4"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","22","devilpromt","ExcelOutputAsset/BossRushStageSchedule.json","1302","F7230A38D4DC84F7BA5F6D02BD45BEC8510824880169908AA0DDE70ACFAD91F3"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","23","devilpromt","ExcelOutputAsset/BuffAssistLevel.json","446","0E6F8A6717C5E6C3E2725123A49BE2FCA5FCAE290FCA6B1A010E0A76FBEA8A31"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","24","devilpromt","ExcelOutputAsset/BuffAssistStageGroupData.json","4209","5FBE5AD93A7D14AB64E6D1A21D086BFF59362C5DF814C9B12D37055AF448F938"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","25","devilpromt","ExcelOutputAsset/ChapterARKAvatarLevel.json","23822","FD281D44AC898E3698228D946BDE3042B69D8A4ED8BBC87A82BF37228C97DAC9"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","26","devilpromt","ExcelOutputAsset/ChapterARKAvatarSkillLevel.json","96664","79F38D5027E1A77BEE0DD0004726DC1EBBC4039E7B8DCF3EF7E14BEEF34D877A"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","27","devilpromt","ExcelOutputAsset/ChapterARKDailyStagePool.json","396","3E41B33FA3F586D17B7E6A3CD2E8A7FF97DC7FFF5C34F1953079600BF3647B67"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","28","devilpromt","ExcelOutputAsset/ChapterARKMonster.json","28723","366A1611DB0B529658231302AA806C1BF20B7803340DBD63BC0F18BA180557B0"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","29","devilpromt","ExcelOutputAsset/ChapterARKRoleLevel.json","12947","2F30A2D98DCDFE4FE097D970DF53190CFE587AFFBA8FE6E548607E91554EEAB7"
"1","HI3-STAGE-HELPERS-MIXED-20260615-V1","30","devilpromt","ExcelOutputAsset/ChapterARKStage.json","65799","2FE0A97B4EB7383E3B64E5E26BADBE2E61038E81999AF7F32DFB9327F1726CF4"
