"schema_version","artifact_set_id","source_snapshot_id","guide_fight_source_ordinal","guide_fight_row_key","stage_source_ordinal","stage_row_key","semantic_slot_ordinal","semantic_slot_id","guide_fight_field_paths","stage_field_paths","guide_fight_observed_state","stage_observed_state","combined_value_state","foreign_classification","mapping_disposition","negative_boundary_code","source_value_copied"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","0","logicalStageId","Id|StageId","StageId","exact-identity-present","exact-identity-present","present","proven-static","identity-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","1","physicalSceneOrScript","","","not-mapped","not-mapped","unresolved","unknown","consumer-unresolved","NO-PHYSICAL-CONSUMER-IN-BOUNDARY","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","2","briefingAndCatalog","","Name|Description","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","3","recommendedPowerOrLevel","","RecommandLevel|RequireLevel","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","4","loadout","NpcId|Weapon","RobotId","all-explicit-null","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","5","restrictions","","CharacterLimitType|CareerSuggestType|AISuggestType|LimitBuffId|NeedJobType|DisableJoystick|HideAction","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","6","entryCost","","RequireActionPoint|FirstRequireActionPoint|FinishRequireActionPoint","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","7","recordOrTargetTime","DefaultRecordTime","StandardUseTimeSec|PassTimeLimit","all-explicit-null","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","8","prerequisite","","PreStageId|RequireLevel|BeginConditions","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","9","recommendedNext","","NextStageId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
